date,open,high,low,close,volume,amount
2025-12-31,25464.707,25483.7676,25244.8574,25249.8457,671825961,0
2026-01-02,25524.2656,25597.6504,25086.3633,25206.168,1122532189,0
2026-01-05,25471.791,25520.5156,25354.6602,25401.3203,1240525789,0
2026-01-06,25462.0586,25655.1211,25428.0762,25639.7051,1035877837,0
2026-01-07,25617.7988,25813.1719,25592.4004,25653.8965,1239583721,0
2026-01-08,25615.3457,25622.3145,25400.1641,25507.1016,1123964463,0
2026-01-09,25518.8223,25811.4551,25455.9727,25766.2578,1158296873,0
2026-01-12,25616.8125,25850.8555,25602.5645,25787.6641,1091234492,0
2026-01-13,25779.2812,25873.1777,25642.1055,25741.9531,1223860426,0
2026-01-14,25575.5664,25624.1914,25266.2031,25465.9434,1239754634,0
2026-01-15,25767.2969,25781.0312,25520.1973,25547.0742,1185406169,0
2026-01-16,25710.5996,25735.4844,25444.2773,25529.2637,1461604954,0
2026-01-20,25155.0312,25279.7773,24954.1797,24987.5664,1551930021,0
2026-01-21,25048.5508,25498.8086,24993.9805,25326.582,1417806862,0
2026-01-22,25548.3789,25576.5176,25399.4961,25518.3516,1220277797,0
2026-01-23,25501.9121,25709.7422,25435.0215,25605.4668,1331081499,0
2026-01-26,25631.0098,25797.0996,25578.7637,25713.209,1109968925,0
2026-01-27,25852.0449,25982.5938,25791.748,25939.7441,1087031385,0
2026-01-28,26121.7441,26165.082,25974.6602,26022.791,1214030678,0
2026-01-29,26030.0801,26046.3359,25418.5449,25884.2949,1495511806,0
2026-01-30,25740.1914,25823.2949,25456.1758,25552.3867,1138367673,0
2026-02-02,25491.6445,25833.1211,25478.498,25738.6133,1262118887,0
2026-02-03,25811.0488,25840.0449,25112.4629,25338.6211,1504286110,0
2026-02-04,25240.3828,25275.2559,24681.2734,24891.2383,1598674271,0
2026-02-05,24614.8594,24854.5605,24455.3965,24548.6895,1543221263,0
2026-02-06,24655.25,25131.3379,24622.332,25075.7715,1674165038,0
2026-02-09,24953.6836,25337.543,24876.2793,25268.1406,1371095256,0
2026-02-10,25314.2266,25363.125,25113.4258,25127.6387,1087572276,0
2026-02-11,25335.9102,25382.8379,24980.291,25201.2598,1405474566,0
2026-02-12,25261.334,25310.5605,24643.7324,24687.6113,1396086330,0
2026-02-13,24662.9492,24921.4727,24514.9609,24732.7324,1256113037,0
2026-02-17,24567.5449,24818.3027,24387.4688,24701.5957,1212586341,0
2026-02-18,24744.875,25057.2051,24696.8301,24898.8672,1122878944,0
2026-02-19,24771.6523,24890.1172,24690.8691,24797.3398,1004247677,0
2026-02-20,24637.3203,25077.5586,24633.5957,25012.6191,1307562972,0
2026-02-23,24935.5137,24984.8203,24618.2266,24708.9414,1229632005,0
2026-02-24,24763.8398,25022.9199,24643.6895,24977.0449,1265425783,0
2026-02-25,25137.7246,25343.9707,25137.623,25329.0352,1081634791,0
2026-02-26,25278.248,25288.2285,24820.5547,25034.3711,1409663048,0
2026-02-27,24808.0,24987.959,24747.252,24960.0352,1613121572,0
2026-03-02,24599.4121,25059.1719,24575.5391,24992.6016,1237572666,0
2026-03-03,24497.375,24810.252,24315.8359,24720.084,1144691726,0
2026-03-04,24850.9434,25179.3633,24795.5312,25093.6777,1062324581,0
